domain,uri,government,live,ssl,enforce_https,non_www,redirect,ip,hostname,ipv6,dnssec,cdn,google_apps,could_provider,server,cms,analytics,javascript,advertising,slash_data,slash_developer,data_dot_json,click_jacking_protection,content_security_policy,xss_protection,secure_cookies,strict_transport_security,agency,last_checked
cpsc.gov,https://www.cpsc.gov,true,true,true,false,true,,63.74.109.2,www.recalls.gov,false,false,false,false,false,Microsoft-IIS/7.5,"",google_analytics,jquery,"",false,false,false,false,false,false,false,false,Consumer Product Safety Commission,2014-07-07 09:44:09 -0400
drywallresponse.gov,http://www.drywallresponse.gov,true,true,false,false,true,cpsc.gov,63.74.109.2,www.recalls.gov,,,,,,,,,,,,,,,,,,,Consumer Product Safety Commission,2014-07-07 09:44:10 -0400
poolsafely.gov,http://www.poolsafely.gov,true,true,false,false,true,,63.74.109.2,www.recalls.gov,false,false,false,false,false,Apache/2.2.3 (Linux/SUSE),wordpress,"facebook_insights, google_analytics","","",false,false,false,false,false,false,,false,Consumer Product Safety Commission,2014-07-07 09:44:15 -0400
poolsafety.gov,http://www.poolsafety.gov,true,true,false,false,true,poolsafely.gov,63.74.109.2,www.recalls.gov,,,,,,,,,,,,,,,,,,,Consumer Product Safety Commission,2014-07-07 09:44:16 -0400
recalls.gov,http://www.recalls.gov,true,true,false,false,true,,63.74.109.2,www.recalls.gov,false,false,false,false,false,Microsoft-IIS/6.0,"",google_analytics,"","",false,false,false,false,false,false,,false,Consumer Product Safety Commission,2014-07-07 09:44:18 -0400
saferproduct.gov,http://www.saferproduct.gov,true,true,false,false,true,saferproducts.gov,63.74.109.3,"",,,,,,,,,,,,,,,,,,,Consumer Product Safety Commission,2014-07-07 09:44:19 -0400
saferproducts.gov,http://saferproducts.gov,true,true,false,false,true,,63.74.109.3,"",false,false,false,false,false,Microsoft-IIS/7.5,"","","","",false,false,false,false,false,false,false,false,Consumer Product Safety Commission,2014-07-07 09:44:19 -0400
americore.gov,http://americore.gov,true,true,false,false,true,,128.121.39.11,"",false,false,false,false,false,Apache/2.4.7 (Ubuntu),drupal,"",jquery,"",true,false,false,false,false,false,,false,Corporation for National & Community Service,2014-07-07 09:44:34 -0400
americorp.gov,http://americorp.gov,true,true,false,false,true,,128.121.39.11,"",false,false,false,false,false,Apache/2.4.7 (Ubuntu),drupal,"",jquery,"",true,false,false,false,false,false,,false,Corporation for National & Community Service,2014-07-07 09:44:48 -0400
americorps.gov,http://www.americorps.gov,true,true,false,false,true,nationalservice.gov,128.121.39.11,"",,,,,,,,,,,,,,,,,,,Corporation for National & Community Service,2014-07-07 09:44:59 -0400
americorpsweek.gov,http://www.americorpsweek.gov,true,true,false,false,true,americorps.gov,206.188.193.55,vux.netsolhost.com,,,,,,,,,,,,,,,,,,,Corporation for National & Community Service,2014-07-07 09:45:00 -0400
cncs.gov,http://cncs.gov,true,true,false,false,true,,128.121.39.10,"",false,false,false,false,false,Apache/2.4.7 (Ubuntu),drupal,"",jquery,"",true,false,false,false,false,false,,false,Corporation for National & Community Service,2014-07-07 09:45:14 -0400
cncsoig.gov,http://cncsoig.gov,true,true,false,false,true,,208.81.105.186,"",false,false,false,false,false,Apache/2.2.22 (Ubuntu),drupal,google_analytics,jquery,"",false,false,false,false,false,false,false,false,Corporation for National & Community Service,2014-07-07 09:45:18 -0400
